Gmt time,Open,High,Low,Close,Volume
09.01.2018 00:00:00.000,113.147,113.179,112.498,112.626,26920.2305
09.01.2018 04:00:00.000,112.625,112.801,112.570,112.738,20212.23
09.01.2018 08:00:00.000,112.740,112.968,112.641,112.668,20500.5899
09.01.2018 12:00:00.000,112.668,112.777,112.365,112.431,27677.1397
09.01.2018 16:00:00.000,112.431,112.668,112.431,112.629,19257.1296
09.01.2018 20:00:00.000,112.630,112.777,112.573,112.777,13232.180400000001
10.01.2018 00:00:00.000,112.777,112.784,112.169,112.286,24238.269500000002
10.01.2018 04:00:00.000,112.287,112.379,111.761,111.946,24950.27
10.01.2018 08:00:00.000,111.945,111.956,111.299,111.400,35172.229999999996
10.01.2018 12:00:00.000,111.400,111.646,111.269,111.348,34774.1596
10.01.2018 16:00:00.000,111.347,111.543,111.338,111.346,23882.200100000002
10.01.2018 20:00:00.000,111.350,111.462,111.287,111.460,16619.6796
11.01.2018 00:00:00.000,111.459,111.752,111.332,111.692,28405.7393
11.01.2018 04:00:00.000,111.692,111.875,111.666,111.780,23731.059699999998
11.01.2018 08:00:00.000,111.782,111.795,111.572,111.618,22717.0801
11.01.2018 12:00:00.000,111.615,111.768,111.329,111.399,40325.291
11.01.2018 16:00:00.000,111.400,111.455,111.044,111.083,23223.719699999998
11.01.2018 20:00:00.000,111.083,111.335,111.079,111.286,13442.49
12.01.2018 00:00:00.000,111.286,111.348,111.062,111.259,26477.5405
12.01.2018 04:00:00.000,111.260,111.404,111.180,111.366,20524.3006
12.01.2018 08:00:00.000,111.367,111.437,110.968,111.130,29408.220699999998
12.01.2018 12:00:00.000,111.130,111.694,111.115,111.300,41192.6397
12.01.2018 16:00:00.000,111.299,111.401,110.913,111.056,29888.589400000004
12.01.2018 20:00:00.000,111.055,111.080,110.924,111.018,10415.840400000001
14.01.2018 20:00:00.000,111.076,111.166,110.976,111.141,8786.9502
15.01.2018 00:00:00.000,111.141,111.183,110.625,110.747,30836.220699999998
15.01.2018 04:00:00.000,110.746,110.898,110.578,110.807,25424.2398
15.01.2018 08:00:00.000,110.807,110.821,110.522,110.679,29549.2192
15.01.2018 12:00:00.000,110.680,110.720,110.499,110.507,20019.1597
15.01.2018 16:00:00.000,110.509,110.581,110.327,110.460,15895.8398
15.01.2018 20:00:00.000,110.456,110.637,110.428,110.618,20337.5998
16.01.2018 00:00:00.000,110.616,110.981,110.606,110.948,25125.46
16.01.2018 04:00:00.000,110.948,110.950,110.701,110.716,23912.5297
16.01.2018 08:00:00.000,110.716,110.762,110.604,110.647,30885.8002
16.01.2018 12:00:00.000,110.647,110.881,110.599,110.678,29191.3995
16.01.2018 16:00:00.000,110.675,110.844,110.249,110.298,32422.809500000003
16.01.2018 20:00:00.000,110.297,110.541,110.246,110.393,19562.4699
17.01.2018 00:00:00.000,110.395,110.731,110.191,110.637,32181.0514
17.01.2018 04:00:00.000,110.637,110.929,110.560,110.762,30740.2803
17.01.2018 08:00:00.000,110.767,110.858,110.647,110.749,24179.3502
17.01.2018 12:00:00.000,110.747,110.840,110.617,110.714,35169.2803
17.01.2018 16:00:00.000,110.715,111.116,110.601,111.111,35220.5293
17.01.2018 20:00:00.000,111.113,111.392,111.092,111.354,22444.9504
18.01.2018 00:00:00.000,111.353,111.482,111.192,111.445,28731.519999999997
18.01.2018 04:00:00.000,111.446,111.466,111.098,111.239,23047.359800000002
18.01.2018 08:00:00.000,111.240,111.355,111.149,111.296,26773.1499
18.01.2018 12:00:00.000,111.294,111.302,110.821,110.936,33901.8295
18.01.2018 16:00:00.000,110.938,111.144,110.691,110.982,31758.0498
18.01.2018 20:00:00.000,110.983,111.203,110.953,111.040,16546.05
19.01.2018 00:00:00.000,111.037,111.129,110.784,110.834,33468.04
19.01.2018 04:00:00.000,110.834,110.922,110.663,110.689,23511.0098
19.01.2018 08:00:00.000,110.690,110.772,110.491,110.709,29318.5401
19.01.2018 12:00:00.000,110.708,110.780,110.508,110.641,39872.121
19.01.2018 16:00:00.000,110.636,110.682,110.538,110.591,23110.889699999996
19.01.2018 20:00:00.000,110.581,110.841,110.581,110.817,8579
21.01.2018 20:00:00.000,110.576,110.806,110.501,110.687,11972.71
22.01.2018 00:00:00.000,110.689,110.871,110.593,110.787,27948.7896
22.01.2018 04:00:00.000,110.787,110.916,110.760,110.778,21573.3399
22.01.2018 08:00:00.000,110.779,110.884,110.659,110.726,21509.23
22.01.2018 12:00:00.000,110.725,110.888,110.689,110.784,27366.3398
22.01.2018 16:00:00.000,110.784,111.223,110.771,110.983,24844.0601
22.01.2018 20:00:00.000,110.982,111.000,110.852,110.981,16064.070099999999
23.01.2018 00:00:00.000,110.982,111.026,110.543,110.752,28383.2099
23.01.2018 04:00:00.000,110.752,111.175,110.727,110.990,28480.23
23.01.2018 08:00:00.000,110.986,111.036,110.380,110.494,33139.789600000004
23.01.2018 12:00:00.000,110.493,110.556,110.252,110.336,36587.2397
23.01.2018 16:00:00.000,110.339,110.478,110.285,110.304,26949.399400000002
23.01.2018 20:00:00.000,110.307,110.358,110.063,110.124,17456.8298
24.01.2018 00:00:00.000,110.124,110.297,109.877,109.956,31455.0498
24.01.2018 04:00:00.000,109.957,110.085,109.804,109.949,25538.260200000004
24.01.2018 08:00:00.000,109.952,109.974,109.390,109.539,40584.8106
24.01.2018 12:00:00.000,109.541,109.603,109.151,109.203,42011.15
24.01.2018 16:00:00.000,109.203,109.275,108.966,109.049,38364.378800000006
24.01.2018 20:00:00.000,109.049,109.337,109.032,109.320,17856.73
25.01.2018 00:00:00.000,109.324,109.472,108.922,109.024,36768.8398
25.01.2018 04:00:00.000,109.024,109.184,108.735,109.021,39556.789600000004
25.01.2018 08:00:00.000,109.023,109.269,108.940,109.016,34958.6504
25.01.2018 12:00:00.000,109.015,109.144,108.591,108.695,54178.3492
25.01.2018 16:00:00.000,108.696,109.700,108.499,109.412,50741.609300000004
25.01.2018 20:00:00.000,109.412,109.718,109.192,109.671,33263.8799
26.01.2018 00:00:00.000,109.674,109.771,109.332,109.377,40774.5303
26.01.2018 04:00:00.000,109.377,109.508,108.919,109.035,32844.9302
26.01.2018 08:00:00.000,109.037,109.410,108.909,109.381,40264.500499999995
26.01.2018 12:00:00.000,109.382,109.590,108.496,108.596,58242.8506
26.01.2018 16:00:00.000,108.596,109.058,108.283,108.679,45853.9405
26.01.2018 20:00:00.000,108.679,108.778,108.596,108.606,9412.340100000001
28.01.2018 20:00:00.000,108.699,108.783,108.592,108.606,16200.2901
29.01.2018 00:00:00.000,108.608,108.989,108.510,108.708,36552.489199999996
29.01.2018 04:00:00.000,108.707,109.056,108.663,108.940,29703.9605
29.01.2018 08:00:00.000,108.939,108.994,108.632,108.701,37074.1909
